收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨各类课程","3197396810","【电子】数字电子技术基础（数字电路/数电） 清华大学 王红主讲",BV18p411Z7ce,648.5万,9.4万,37:02:55,https://www.bilibili.com/video/BV18p411Z7ce
"2、汇丨各类课程","3197396810","电力电子",BV1pS4y1g7D9,63.2万,4779,19:36:53,https://www.bilibili.com/video/BV1pS4y1g7D9
"2、汇丨各类课程","3197396810","[oeasy]电学基础(电路基础知识学习教程，讲授各个物理量的由来，深入了解物理历史,初中物理电学拓展学习,零基础理解电路原理,multisim,电路仿真)",BV1Es411Z7MH,47.1万,8273,22:59:07,https://www.bilibili.com/video/BV1Es411Z7MH
"2、汇丨各类课程","3197396810","【力学】北京大学公开课 舒幼生 全",BV1Rb411Y7uQ,24.8万,3050,44:04:46,https://www.bilibili.com/video/BV1Rb411Y7uQ
"2、汇丨各类课程","3197396810","【机器学习】【白板推导系列】【合集 1～33】",BV1aE411o7qd,191.4万,3.5万,60:39:02,https://www.bilibili.com/video/BV1aE411o7qd
"2、汇丨各类课程","3197396810","计算机视觉（本科） 北京邮电大学  鲁鹏 清晰完整合集",BV1nz4y197Qv,28.8万,9918,23:03:11,https://www.bilibili.com/video/BV1nz4y197Qv
"2、汇丨各类课程","3197396810","工业机器人技术基础（完）",BV1C7411K7HP,38.2万,1444,10:26:13,https://www.bilibili.com/video/BV1C7411K7HP
"2、汇丨各类课程","3197396810","【高等数学】上海交通大学-乐经良",BV1EW411H7Vj,738.1万,15.4万,99:06:41,https://www.bilibili.com/video/BV1EW411H7Vj
"2、汇丨各类课程","3197396810","【官方自制】  Simulink 基础入门系列（全7P）",BV1Kz4y1r7ep,68.2万,5008,05:59:49,https://www.bilibili.com/video/BV1Kz4y1r7ep
"2、汇丨各类课程","3197396810","【物理】半导体物理 西安电子科技大学 柴常春等主讲",BV1fp4y1z7oF,212.8万,3.4万,58:49:16,https://www.bilibili.com/video/BV1fp4y1z7oF
"2、汇丨各类课程","3197396810","【电子科技大学】《电路分析基础》—国家级精品课程",BV19E411C7bi,195.9万,9668,06:26:40,https://www.bilibili.com/video/BV19E411C7bi
"2、汇丨各类课程","3197396810","【高清】-半导体物理-复旦大学蒋玉龙",BV1NE411E78K,110.3万,1.2万,17:08:19,https://www.bilibili.com/video/BV1NE411E78K
"2、汇丨各类课程","3197396810","普林斯顿微积分 The Calculus Lifesaver【主讲：Adrian Banner】",BV1eE411a7qA,4.2万,43,47:41:41,https://www.bilibili.com/video/BV1eE411a7qA
"2、汇丨各类课程","3197396810","英语语法精讲合集 (全面, 通俗, 有趣 | 从零打造系统语法体系)",BV1XY411J7aG,4427.4万,95.4万,08:51:49,https://www.bilibili.com/video/BV1XY411J7aG
"2、汇丨各类课程","3197396810","浙江大学 FAST-Lab FAR 课题组2023代表性研究成果|无人机|人工智能|集群机器人|自主导航",BV1Qm411975A,11.3万,94,05:02,https://www.bilibili.com/video/BV1Qm411975A
"2、汇丨各类课程","3197396810","【Autolabor初级教程】ROS机器人入门",BV1Ci4y1L7ZZ,341.7万,6.0万,49:15:04,https://www.bilibili.com/video/BV1Ci4y1L7ZZ
"2、汇丨各类课程","3197396810","【复旦大学】哲学课堂（阳明|笛卡尔|坛经|马哲|合50讲）王德峰",BV1Mg411g7C8,742.8万,10.3万,49:37:04,https://www.bilibili.com/video/BV1Mg411g7C8
"2、汇丨各类课程","3197396810","【4K超清】Verilog硬件描述语言 西安电子科技大学 蔡觉平等主讲（4K超清重制版）",BV12y4y1v7V3,105.9万,1.5万,21:25:46,https://www.bilibili.com/video/BV12y4y1v7V3
"2、汇丨各类课程","3197396810","【学习资料】Altium Designer 20 (AD20)详细教程视频",BV1ei4y1L7TU,199.8万,6497,04:18:03,https://www.bilibili.com/video/BV1ei4y1L7TU
"2、汇丨各类课程","3197396810","于争博士cadence视频教程(60集全)",BV1ft411s74Q,34.1万,4013,19:29:00,https://www.bilibili.com/video/BV1ft411s74Q
"2、汇丨各类课程","3197396810","CMOS模拟集成电路设计 吴金-东南大学【高清再制版】",BV1Tr4y1k7vJ,49.2万,7007,38:23:49,https://www.bilibili.com/video/BV1Tr4y1k7vJ
"2、汇丨各类课程","3197396810","模拟IC设计实践入门",BV1s4411g7QV,21.3万,955,04:40:08,https://www.bilibili.com/video/BV1s4411g7QV
"2、汇丨各类课程","3197396810","(全36集)【台湾清华大学】半导体工艺与整合 (2022 吴永俊)",BV17h4y1x7nf,26.5万,785,24:09:33,https://www.bilibili.com/video/BV17h4y1x7nf
"2、汇丨各类课程","3197396810","【西安交通大学】集成电路设计 模拟CMOS  XJTU_张鸿教授（对应Razavi 1-10章）",BV1SK4y1N7wN,164.9万,3.6万,44:38:25,https://www.bilibili.com/video/BV1SK4y1N7wN
"2、汇丨各类课程","3197396810","【郝斌】-C语言自学入门教程（182集全 | 最新高清修复版）",BV1sM4y1v7ci,73.5万,1.6万,45:00:07,https://www.bilibili.com/video/BV1sM4y1v7ci
"2、汇丨各类课程","3197396810","【计算机科学速成课】[40集全/精校] - Crash Course Computer Science",BV1EW411u7th,505.8万,4.8万,07:52:01,https://www.bilibili.com/video/BV1EW411u7th
"2、汇丨各类课程","3197396810","(模电)模拟电子技术基础第1-9章习题讲解(全)",BV1i14y1b7TM,195.2万,1.2万,20:21:23,https://www.bilibili.com/video/BV1i14y1b7TM
"2、汇丨各类课程","3197396810","【微纳加工技术】清华大学",BV1g7411Z7Z9,12.1万,467,08:35:22,https://www.bilibili.com/video/BV1g7411Z7Z9
