收藏夹,FID,标题,BV号,播放量,弹幕,时长,链接
"2、汇丨实验室项目","3608268410","DualTrans: A Complete Planning Framework for Dual-UAV Rigid Body Transportation",BV1SLTxzXENd,3320,0,02:19,https://www.bilibili.com/video/BV1SLTxzXENd
"2、汇丨实验室项目","3608268410","已失效视频",BV1PX9VYWEy6,,,,https://www.bilibili.com/video/BV1PX9VYWEy6
"2、汇丨实验室项目","3608268410","FT-Net: 四足机器人的学习故障恢复和容错运动",BV1x84y1X7kF,3272,1,05:00,https://www.bilibili.com/video/BV1x84y1X7kF
"2、汇丨实验室项目","3608268410","MorAL: 四足机器人复杂地形&形态自适应运动控制器",BV1Zm411Z7Zf,4369,0,04:44,https://www.bilibili.com/video/BV1Zm411Z7Zf
"2、汇丨实验室项目","3608268410","TRO论文 |  FAPP：一个无人机在密集动态环境下的快速与自适应的感知与规划框架",BV1tpkMYEELF,6912,1,04:04,https://www.bilibili.com/video/BV1tpkMYEELF
"2、汇丨实验室项目","3608268410","T-RO | 动态混乱环境中无人机的快速自适应感知与规划，仅凭单个雷达在人群中稳定飞行",BV1LfwVeZEak,5956,0,01:31,https://www.bilibili.com/video/BV1LfwVeZEak
"2、汇丨实验室项目","3608268410","已失效视频",BV1PR9iYnE4x,,,,https://www.bilibili.com/video/BV1PR9iYnE4x
"2、汇丨实验室项目","3608268410","机器人大一统框架！RoboVerse：迄今最大、最多样化的统一仿真平台、数据集和基准",BV1sEdTYgE7a,9908,0,02:22,https://www.bilibili.com/video/BV1sEdTYgE7a
"2、汇丨实验室项目","3608268410","复旦大学 | VLABench：面向具有长期推理任务的语言条件机器人操控的大规模基准测试集",BV1mGC6YuENs,2063,0,03:05,https://www.bilibili.com/video/BV1mGC6YuENs
"2、汇丨实验室项目","3608268410","RSS2025 | UniVLA：一个学习跨实体VLA策略的新框架（港大）",BV15679zqEcz,1792,1,02:07,https://www.bilibili.com/video/BV15679zqEcz
"2、汇丨实验室项目","3608268410","演示一次即可一通百通？DenseMatcher策略太强了！（ICLR 2025 spotlight）",BV1sqLbzyEhp,4305,0,00:27,https://www.bilibili.com/video/BV1sqLbzyEhp
"2、汇丨实验室项目","3608268410","突破移动操作泛化瓶颈！清华提出MoManipVLA：基于VLA模型的零样本轨迹优化~",BV1SxQfYDEfr,1462,0,01:35,https://www.bilibili.com/video/BV1SxQfYDEfr
"2、汇丨实验室项目","3608268410","DexVLA 引领机器人控制变革！华师大&美的携手打造智能新未来~",BV12YAheaEZd,485,0,01:27,https://www.bilibili.com/video/BV12YAheaEZd
"2、汇丨实验室项目","3608268410","RoboBERT 震撼登场！西湖大学提出新型端到端多模态具身智能模型~",BV14WAmeCEJX,4981,0,01:03,https://www.bilibili.com/video/BV14WAmeCEJX
